cb,pnr,cvs,swks,hbi,fast,flir,gis,incy,wab,xyl,idxx,noc,tfx,dhr,nke,zbh,avy,pki,rtx,tmo,aph,stz,cof,dg,hlt,oke,wmb,well,amgn,tdy,odfl,nlok,ctsh,rgen,mos,ftnt,isrg,jnpr,ntap,chtr,it,syf,uri,rjf,mmm,ecl,aee,cnc,orly,es,tsn,ctlt,dgx,alk,amzn,
115.67,30.72,96.94,61.44,27.47,21.84,30.26,57.66,71.67,67.49,37,69.41,184.22,133.26,65.55,57.79,93.62,64.83,45.67,54.42,127.42,50.73,139.29,64.21,73.04,40.2,21.03,15.01,55.96,147.15,81.64,41.65,19.55,55.01,23.14,23.54,25.42,178.39,23.21,23.09,168.93,81.5,26.14,47.56,42.22,155.53,108.65,45.58,27.58,255.76,53.86,61.81,23.02,63.22,69.6,521.1
116.91,31.89,97.69,63.71,27.88,22.21,30.88,58.14,74.45,69.49,37.66,71.52,190.06,135.24,65.99,58.17,95.37,64.2,45.7,55.45,130.7,52.02,142.01,65.18,74.27,41.71,21.73,15.69,56.53,151.07,82.36,41.67,19.97,56.61,24.01,25.3,26.18,180.62,23.57,23.55,171.91,82.78,26.27,48.18,43.31,156.62,109.96,45.31,28.81,254.62,53.54,62.41,23.92,64.57,71.77,534.1
116.36,32.41,96.89,62.07,27.08,22.28,30.47,58.6,71.02,68.89,37.53,70.63,192.68,134.54,65.69,58.6,95.09,64.18,45.68,55.61,129.69,52.1,140.33,65.93,72.6,41.52,21.19,15.92,58.68,149.3,82.19,41.89,19.81,56.01,24.3,25.72,25.59,180.87,24,23.93,171.94,81.8,26.62,49.87,43.22,156.78,108.76,46.28,27.96,253.41,54.46,62.96,23.66,66.05,72.32,525
115.67,32.24,97.59,63.03,26.53,22.33,30.83,58.72,72.7,67.25,37.03,71.34,190.68,134.5,65.67,59.31,94.79,64.59,46.97,55.52,130.16,52.1,139.51,65.73,72,42.09,20.66,15.51,59.2,150.12,82.65,42.01,19.93,55.9,24.77,24.4,26.09,182.11,24.57,24.64,173.57,82.78,26.77,48.4,43.87,156.45,107.77,45.6,27.72,257.84,54.67,62.97,23.98,66.31,72.34,534.9
117.09,32.99,97.46,64.29,26.94,22.68,31.18,58.37,73.9,68.69,37.64,71.42,192.27,132.76,66.51,60.17,95.14,65.03,47.79,58.13,131.44,52.5,140.6,67.76,72.78,42.13,21.4,16.15,60.33,148.56,83.6,42.56,20.13,56.63,26.19,25.16,26.57,183.84,24.78,24.97,177.05,82.82,27.71,51.61,44.24,157.7,108.09,46.23,28.86,259.54,55.34,64.1,24.19,66.7,72.39,559.5
115.7,32.06,96.75,62.62,26.47,22.27,31.15,58.82,72.01,67.5,37.32,71.7,191.31,131.82,66.18,60.21,93.56,63.99,47.2,57.64,129.74,52.15,139.47,65.72,74.11,42.09,21.31,15.6,60.67,147.26,83.16,42.32,19.56,55.76,25.19,24.38,26.55,182.97,24.56,24.32,174.39,82.36,27.51,49.87,43.44,156.17,100.14,46.52,28.57,258.78,55.84,64.79,24.56,66.14,72.74,552.94
116.18,32.15,96.88,63.71,27.62,22.25,31.24,58.96,74.32,67.39,37.47,72.06,190.02,132.46,66.09,60.4,94.35,64.78,47.37,58.91,129.77,52.43,139.08,65.41,75.08,42.11,21.52,16.63,61.54,147.11,83.01,42.28,19.29,56.19,25.44,24.97,27.3,184.55,24.84,24.99,175.79,81.27,27.73,49.68,42.92,157.22,102.13,47.48,28.64,263.77,56.23,65.38,24.82,66.07,73.6,554.04
118.39,32.17,98.4,64.55,28.07,22.54,31.02,60.14,74.28,68.02,37.56,73.16,192.93,142.99,66.89,62.38,96.89,66.24,47.62,61.72,130.57,52.72,143.64,66.42,76.27,42.76,21.37,16.03,62.67,146.75,83.32,42.47,19.67,57.24,25.78,25.42,28.06,186.43,24.96,24.63,183.04,82.89,27.78,50.36,44.1,158.99,103.68,48.13,28.76,267.27,56.66,66.49,24.99,66.72,74.91,555.15
117.51,32.6,97.66,64.9,28.21,22.61,31.05,59,74.34,68.87,37.72,73.48,192.22,145.13,67.51,62.6,97.53,66.45,47.95,61.48,130.71,52.94,142.05,67.2,76.02,43.82,23.01,15.64,63.5,147.6,84.46,43.21,19.44,57.04,26.05,26.82,28.11,189.16,24.6,25.12,181.21,82.7,27.93,51.53,44.96,158.27,106.28,46.49,28.84,262.93,54.77,65.17,24.73,67.22,74.57,555.23
115.53,32.04,97.17,66.45,28.49,22.65,30.96,58.85,73.5,70.6,37.41,73.16,192.22,142.82,67.66,61.59,96.81,65.12,47.26,60.8,129.19,53.07,141.43,65.73,74.25,43.99,24,15.99,63.78,142.28,85.18,43.04,19.31,56.98,25.73,26.65,28.4,187.69,24.7,24.84,179.56,82.4,26.95,51.57,43.84,156.87,102.55,46.95,28.48,260.32,54.3,64.75,24.27,66.53,73.9,552.52
